Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
23;A;P.l.;P+L;Forb;109,2460013586276;Root;4,39905100711455e+00;4,02673869286396e-02
23;A;P.l.;P+L;Forb;109,2460013586276;Soil.F;1,31649715741120e-03;1,20507582981409e-05
23;A;P.l.;P+L;Forb;109,2460013586276;Soil.NF;1,47999213120420e-04;1,35473345733338e-06
23;B;P.l.;P+L;Forb;NA;Shoot;7,43831368292375e+02;NA
23;B;P.l.;P+L;Forb;NA;Root;8,03583435019431e+01;NA
23;B;P.l.;P+L;Forb;NA;Soil.F;NA;NA
23;B;P.l.;P+L;Forb;NA;Soil.NF;2,21589654896095e-04;NA
23;C;P.l.;P+L;Forb;427,7135210444003;Shoot;3,75859156466499e+02;8,78763793926173e-01
23;C;P.l.;P+L;Forb;427,7135210444003;Root;5,18516292347578e+01;1,21229810804544e-01
23;C;P.l.;P+L;Forb;427,7135210444003;Soil.F;2,73534314313918e-03;6,39526928318740e-06
23;C;P.l.;P+L;Forb;427,7135210444003;Soil.NF;1,61513259191822e-04;3,77620185579908e-07
24;A;C.n.;P+L;Forb;125,1276849166290;Shoot;1,19920627594569e+02;9,58386049214212e-01
24;A;C.n.;P+L;Forb;125,1276849166290;Root;5,20559528925482e+00;4,16022664586438e-02
24;A;C.n.;P+L;Forb;125,1276849166290;Soil.F;1,46203280541958e-03;1,16843271446580e-05
24;A;C.n.;P+L;Forb;125,1276849166290;Soil.NF;3,52509979700687e-06;2,81720212385900e-08
24;B;C.n.;P+L;Forb;343,4233167705900;Shoot;2,17897942444058e+02;6,34487909828253e-01
24;B;C.n.;P+L;Forb;343,4233167705900;Root;1,25521170247339e+02;3,65499848489287e-01
24;B;C.n.;P+L;Forb;343,4233167705900;Soil.F;4,20407919317534e-03;1,22416824597373e-05
24;B;C.n.;P+L;Forb;343,4233167705900;Soil.NF;1,52433091537834e-04;4,43863547097651e-07
24;C;C.n.;P+L;Forb;450,3145979980778;Shoot;4,36203989424945e+02;9,68664998567972e-01
24;C;C.n.;P+L;Forb;450,3145979980778;Root;1,41041726223279e+01;3,13207093108452e-02
24;C;C.n.;P+L;Forb;450,3145979980778;Soil.F;6,43595080522540e-03;1,42921211833618e-05
24;C;C.n.;P+L;Forb;450,3145979980778;Soil.NF;4,65904911551709e-04;1,03462093750223e-06
25;A;R.a.;P+L;Forb;84,1367097132586;Shoot;8,41318279578238e+01;9,99941978293999e-01
25;A;R.a.;P+L;Forb;84,1367097132586;Root;0,00000000000000e+00;0,00000000000000e+00
25;A;R.a.;P+L;Forb;84,1367097132586;Soil.F;4,88175543485470e-03;5,80217060007686e-05
25;A;R.a.;P+L;Forb;84,1367097132586;Soil.NF;4,69707531975143e-04;5,58267055576484e-06
25;B;R.a.;P+L;Forb;451,8426928668027;Shoot;2,37033570548353e+02;5,24593125639474e-01
25;B;R.a.;P+L;Forb;451,8426928668027;Root;2,14792608842006e+02;4,75370327401365e-01
25;B;R.a.;P+L;Forb;451,8426928668027;Soil.F;1,65134764432489e-02;3,65469591606672e-05
25;B;R.a.;P+L;Forb;451,8426928668027;Soil.NF;2,19383980969887e-04;4,85531766770341e-07
25;C;R.a.;P+L;Forb;359,3088104457915;Shoot;1,76321279074190e+02;4,90723505653619e-01
