Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
7;C;C.r.;Forbs;P;AMF;25,00839823151262;388765453,898743212
7;C;C.r.;Forbs;P;SaproF;30,96483665435774;596009936,243168116
7;C;C.r.;Forbs;P;Gneg;12,41145085715720;410131545,933924019
7;C;C.r.;Forbs;P;Gpos;14,96128633937589;595958393,321202278
8;C;P.l.;Forbs;P;AMF;23,29772050893725;701313170,003961325
8;C;P.l.;Forbs;P;SaproF;33,93209696431840;1487669747,351903677
8;C;P.l.;Forbs;P;Gneg;8,60189299970096;531919513,264239550
8;C;P.l.;Forbs;P;Gpos;12,94326192906131;1204329516,506030798
9;C;C.n.;Forbs;P;AMF;53,80888949160420;292943929,205840051
9;C;C.n.;Forbs;P;SaproF;76,21035480990517;587630611,117518544
