;;;;; (µgC/gsol); (µgN/gsol); (µgN/gsol);(µgN/gsol);ppm/h/gsol ;;µgN/gsol/h; (µgC/gsol); (µgC/gsol); (µgN/gsol); (µgN/gsol);
Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN ;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;
2;C;F.o.;Grass;P;153,02;50,83;4,347652689;9,966157703;6,29;6,28;0,073308113;82,78;235,8;9,97;60,80;
3;C;A.o.;Grass;P;228,68;64,20;3,646052632;9,440671992;9,11;6,2;0,04687782;83,92;312,6;9,44;73,64;
4;C;D.g.;Grass;P;164,3;53,34;4,445257143;9,936457143;7,34;6,59;0,094657829;77,1;241,4;9,94;63,28;
5;C;H.l.;Grass;P;135,76;45,45;3,679328274;8,791315346;9,14;6,24;0,048449916;75,84;211,6;8,79;54,25;
6;C;G.v.;Forbs;P;131,46;54,15;5,490076336;12,55854962;0,00;6,45;0,090037252;89,34;220,8;12,56;66,70;
7;C;C.r.;Forbs;P;119,02;45,43;4,851029748;9,166773455;5,51;6,15;0,067178398;74,06;193,08;9,17;54,60;
8;C;P.l.;Forbs;P;117,98;52,37;3,563502884;9,03602517;9,92;6,37;0,06923377;74,14;192,12;9,04;61,41;
9;C;C.n.;Forbs;P;244,14;81,36;4,061047562;9,522456352;9,17;6,46;0,030807947;79,26;323,4;9,52;90,88;
10;C;R.a.;Forbs;P;97,42;39,49;3,61711105;8,407339197;7,58;6,28;0,047967455;75,42;172,84;8,41;47,90;
11;C;M.a.;Leg;P;178,94;60,09;4,815161441;11,94160037;11,84;6,25;0,065229387;92,86;271,8;11,94;72,03;
12;C;T.p.;Leg;P;122,26;51,84;5,841942149;14,10123967;8,36;6,45;0,06553719;84,34;206,6;14,10;65,94;
13;C;L.c.;Leg;P;198,84;58,79;5,010391037;11,2892355;9,49;6,66;0,043127417;75,16;274;11,29;70,08;
14;C;M.s.;Leg;P;140,48;55,70;6,98053656;14,79873751;10,05;6,64;0,04970142;85,32;225,8;14,80;70,50;
15;C;T.r.;Leg;P;121,48;52,39;12,43707929;20,49686252;6,70;6,27;0,064478266;79,72;201,2;20,50;72,89;
17;C;F.o.;Grass;P+L;110,08;47,41;6,572737307;17,41076159;7,26;6,15;0,104045033;89,92;200;17,41;64,82;
18;C;A.o.;Grass;P+L;123,1;51,66;4,087186503;10,5372777;10,37;6,45;0,042915458;87,1;210,2;10,54;62,20;
19;C;D.g.;Grass;P+L;180,02;71,30;7,531583527;16,18938515;6,18;6,51;0,064194432;82,78;262,8;16,19;87,49;
20;C;H.l.;Grass;P+L;130,1;58,62;4,262288136;9,776200565;7,13;NA;0,062784181;77,5;207,6;9,78;68,40;
21;C;G.v.;Forbs;P+L;155,66;53,03;6,620687061;12,90699599;6,87;6,12;0,015515145;69,14;224,8;12,91;65,94;
23;C;P.l.;Forbs;P+L;215,06;65,31;4,739474929;12,40054399;9,00;6,31;0,065963103;86,74;301,8;12,40;77,71;
24;C;C.n.;Forbs;P+L;149,52;48,05;6,72975563;14,73816483;8,41;6,34;0,037148251;81,28;230,8;14,74;62,79;
25;C;R.a.;Forbs;P+L;163,56;55,15;3,732725615;9,138742024;8,14;6,41;0,03964412;72,84;236,4;9,14;64,29;
26;C;M.a.;Leg;P+L;187,18;55,29;6,019572144;13,80575785;11,49;6,43;0,027742376;77,82;265;13,81;69,09;
27;C;T.p.;Leg;P+L;137,9;46,14;6,113320556;14,67196933;10,20;6,29;0,107079636;84,9;222,8;14,67;60,81;
28;C;L.c.;Leg;P+L;136,14;41,44;6,82154013;14,66312364;8,32;5,86;0,022440954;72,26;208,4;14,66;56,10;
29;C;M.s.;Leg;P+L;112;44,37;8,708823529;19,28382353;12,10;5,98;0,128282353;86,1;198,1;19,28;63,66;
30;C;T.r.;Leg;P+L;176,38;56,73;7,800537634;16,4875;8,77;6,36;0,065335412;29,62;206;16,49;73,22;
32;C;F.o.;Grass;L;164,62;72,72;18,30370515;23,28915013;7,02;6,41;0,147854054;63,18;227,8;23,29;96,01;
33;C;A.o.;Grass;L;213,3;62,18;36,9122807;43,78947368;6,41;6,04;0,161122807;34,7;248;43,79;105,96;
34;C;D.g.;Grass;L;55,48;45,18;9,243787777;21,0967092;8,81;6,34;0,234971122;75,76;131,24;21,10;66,27;
35;C;H.l.;Grass;L;174,92;54,18;15,35117504;27,25468666;9,03;6,57;0,14893906;36,88;211,8;27,25;81,44;
36;C;G.v.;Forbs;L;113,42;44,08;27,42191142;34,55160839;4,94;6,33;0,144787692;78,04;191,46;34,55;78,63;
38;C;P.l.;Forbs;L;155,04;60,77;28,31007316;31,84018008;4,22;6,33;0,154494091;62,76;217,8;31,84;92,61;
39;C;C.n.;Forbs;L;204,74;68,42;22,63417738;38,78557074;8,17;6,53;0,177517149;50,26;255;38,79;107,21;
40;C;R.a.;Forbs;L;164,8;62,84;14,61920652;19,7463216;6,85;6,4;0,16961051;50,8;215,6;19,75;82,59;
41;C;M.a.;Leg;L;178,16;90,37;17,49192229;24,09130879;6,07;6,31;0,26085317;87,24;265,4;24,09;114,46;
42;C;T.p.;Leg;L;197,36;86,92;27,20677146;31,77750907;9,23;6,21;0,239129383;75,64;273;31,78;118,69;
43;C;L.c.;Leg;L;142,1;62,36;24,95816092;34,45885057;8,78;6,27;0,112801839;92,9;235;34,46;96,82;
44;C;M.s.;Leg;L;134,56;59,22;14,43116029;21,57529904;6,06;6,61;0,160028708;79,24;213,8;21,58;80,80;
45;C;T.r.;Leg;L;121,86;60,39;17,85016797;24,97583987;6,47;6,3;0,158348264;79,34;201,2;24,98;85,36;
